Axis1,Axis2,Axis3,datetime,hand,hand_dominance,type,hand_type,session,hand_label,id
85,22,82,2017-12-19 22:05:50,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:05:50,L,R,td,ndom,dom,ndom,TD0
122,45,105,2017-12-19 22:05:51,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:05:51,L,R,td,ndom,dom,ndom,TD0
113,75,93,2017-12-19 22:05:52,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:05:52,L,R,td,ndom,dom,ndom,TD0
72,69,97,2017-12-19 22:05:53,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:05:53,L,R,td,ndom,dom,ndom,TD0
56,48,94,2017-12-19 22:05:54,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:05:54,L,R,td,ndom,dom,ndom,TD0
123,48,80,2017-12-19 22:05:55,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:05:55,L,R,td,ndom,dom,ndom,TD0
0,0,0,2017-12-19 22:05:56,L,R,td,ndom,dom,ndom,TD0
173,43,50,2017-12-19 22:05:56,R,R,td,dom,dom,dom,TD0
97,70,80,2017-12-19 22:05:57,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:05:57,L,R,td,ndom,dom,ndom,TD0
50,81,95,2017-12-19 22:05:58,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:05:58,L,R,td,ndom,dom,ndom,TD0
69,93,118,2017-12-19 22:05:59,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:05:59,L,R,td,ndom,dom,ndom,TD0
63,45,121,2017-12-19 22:06:00,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:00,L,R,td,ndom,dom,ndom,TD0
54,29,122,2017-12-19 22:06:01,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:01,L,R,td,ndom,dom,ndom,TD0
0,0,0,2017-12-19 22:06:02,L,R,td,ndom,dom,ndom,TD0
59,38,116,2017-12-19 22:06:02,R,R,td,dom,dom,dom,TD0
73,70,105,2017-12-19 22:06:03,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:03,L,R,td,ndom,dom,ndom,TD0
52,34,125,2017-12-19 22:06:04,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:04,L,R,td,ndom,dom,ndom,TD0
0,0,0,2017-12-19 22:06:05,L,R,td,ndom,dom,ndom,TD0
44,49,122,2017-12-19 22:06:05,R,R,td,dom,dom,dom,TD0
75,44,136,2017-12-19 22:06:06,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:06,L,R,td,ndom,dom,ndom,TD0
68,74,70,2017-12-19 22:06:07,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:07,L,R,td,ndom,dom,ndom,TD0
64,62,121,2017-12-19 22:06:08,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:08,L,R,td,ndom,dom,ndom,TD0
0,0,0,2017-12-19 22:06:09,L,R,td,ndom,dom,ndom,TD0
109,53,66,2017-12-19 22:06:09,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:10,L,R,td,ndom,dom,ndom,TD0
177,46,69,2017-12-19 22:06:10,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:11,L,R,td,ndom,dom,ndom,TD0
122,40,79,2017-12-19 22:06:11,R,R,td,dom,dom,dom,TD0
78,96,70,2017-12-19 22:06:12,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:12,L,R,td,ndom,dom,ndom,TD0
0,0,0,2017-12-19 22:06:13,L,R,td,ndom,dom,ndom,TD0
45,95,62,2017-12-19 22:06:13,R,R,td,dom,dom,dom,TD0
134,42,82,2017-12-19 22:06:14,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:14,L,R,td,ndom,dom,ndom,TD0
0,0,0,2017-12-19 22:06:15,L,R,td,ndom,dom,ndom,TD0
25,57,88,2017-12-19 22:06:15,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:16,L,R,td,ndom,dom,ndom,TD0
123,68,70,2017-12-19 22:06:16,R,R,td,dom,dom,dom,TD0
174,51,59,2017-12-19 22:06:17,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:17,L,R,td,ndom,dom,ndom,TD0
70,29,126,2017-12-19 22:06:18,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:18,L,R,td,ndom,dom,ndom,TD0
60,15,115,2017-12-19 22:06:19,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:19,L,R,td,ndom,dom,ndom,TD0
71,71,160,2017-12-19 22:06:20,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:20,L,R,td,ndom,dom,ndom,TD0
42,12,156,2017-12-19 22:06:21,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:21,L,R,td,ndom,dom,ndom,TD0
45,31,117,2017-12-19 22:06:22,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:22,L,R,td,ndom,dom,ndom,TD0
0,0,0,2017-12-19 22:06:23,L,R,td,ndom,dom,ndom,TD0
57,36,154,2017-12-19 22:06:23,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:24,L,R,td,ndom,dom,ndom,TD0
62,25,136,2017-12-19 22:06:24,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:25,L,R,td,ndom,dom,ndom,TD0
81,88,47,2017-12-19 22:06:25,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:26,L,R,td,ndom,dom,ndom,TD0
79,93,141,2017-12-19 22:06:26,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:27,L,R,td,ndom,dom,ndom,TD0
70,28,141,2017-12-19 22:06:27,R,R,td,dom,dom,dom,TD0
56,98,117,2017-12-19 22:06:28,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:28,L,R,td,ndom,dom,ndom,TD0
0,0,0,2017-12-19 22:06:29,L,R,td,ndom,dom,ndom,TD0
78,89,34,2017-12-19 22:06:29,R,R,td,dom,dom,dom,TD0
45,34,100,2017-12-19 22:06:30,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:30,L,R,td,ndom,dom,ndom,TD0
68,67,115,2017-12-19 22:06:31,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:31,L,R,td,ndom,dom,ndom,TD0
96,26,114,2017-12-19 22:06:32,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:32,L,R,td,ndom,dom,ndom,TD0
47,48,143,2017-12-19 22:06:33,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:33,L,R,td,ndom,dom,ndom,TD0
0,0,0,2017-12-19 22:06:34,L,R,td,ndom,dom,ndom,TD0
64,81,138,2017-12-19 22:06:34,R,R,td,dom,dom,dom,TD0
48,139,64,2017-12-19 22:06:35,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:35,L,R,td,ndom,dom,ndom,TD0
137,57,88,2017-12-19 22:06:36,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:36,L,R,td,ndom,dom,ndom,TD0
0,0,0,2017-12-19 22:06:37,L,R,td,ndom,dom,ndom,TD0
151,63,64,2017-12-19 22:06:37,R,R,td,dom,dom,dom,TD0
131,59,62,2017-12-19 22:06:38,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:38,L,R,td,ndom,dom,ndom,TD0
75,59,128,2017-12-19 22:06:39,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:39,L,R,td,ndom,dom,ndom,TD0
106,78,120,2017-12-19 22:06:40,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:40,L,R,td,ndom,dom,ndom,TD0
88,100,105,2017-12-19 22:06:41,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:41,L,R,td,ndom,dom,ndom,TD0
85,65,104,2017-12-19 22:06:42,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:42,L,R,td,ndom,dom,ndom,TD0
54,61,75,2017-12-19 22:06:43,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:43,L,R,td,ndom,dom,ndom,TD0
85,104,87,2017-12-19 22:06:44,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:44,L,R,td,ndom,dom,ndom,TD0
32,66,102,2017-12-19 22:06:45,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:45,L,R,td,ndom,dom,ndom,TD0
0,0,0,2017-12-19 22:06:46,L,R,td,ndom,dom,ndom,TD0
28,43,131,2017-12-19 22:06:46,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:47,L,R,td,ndom,dom,ndom,TD0
56,26,96,2017-12-19 22:06:47,R,R,td,dom,dom,dom,TD0
0,0,0,2017-12-19 22:06:48,L,R,td,ndom,dom,ndom,TD0
32,24,93,2017-12-19 22:06:48,R,R,td,dom,dom,dom,TD0
81,81,117,2017-12-19 22:06:49,R,R,td,dom,dom,dom,TD0
20,41,11,2017-12-19 22:06:49,L,R,td,ndom,dom,ndom,TD0
13,93,6,2017-12-19 22:06:50,R,R,td,dom,dom,dom,TD0
0,20,0,2017-12-19 22:06:50,L,R,td,ndom,dom,ndom,TD0
72,58,94,2017-12-19 22:08:20,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:20,R,R,td,dom,ndom,dom,TD0
68,42,112,2017-12-19 22:08:21,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:21,R,R,td,dom,ndom,dom,TD0
0,0,0,2017-12-19 22:08:22,R,R,td,dom,ndom,dom,TD0
118,26,90,2017-12-19 22:08:22,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:23,R,R,td,dom,ndom,dom,TD0
113,18,100,2017-12-19 22:08:23,L,R,td,ndom,ndom,ndom,TD0
114,56,120,2017-12-19 22:08:24,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:24,R,R,td,dom,ndom,dom,TD0
0,0,0,2017-12-19 22:08:25,R,R,td,dom,ndom,dom,TD0
183,24,48,2017-12-19 22:08:25,L,R,td,ndom,ndom,ndom,TD0
173,56,51,2017-12-19 22:08:26,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:26,R,R,td,dom,ndom,dom,TD0
169,42,46,2017-12-19 22:08:27,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:27,R,R,td,dom,ndom,dom,TD0
173,46,71,2017-12-19 22:08:28,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:28,R,R,td,dom,ndom,dom,TD0
87,62,88,2017-12-19 22:08:29,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:29,R,R,td,dom,ndom,dom,TD0
136,69,87,2017-12-19 22:08:30,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:30,R,R,td,dom,ndom,dom,TD0
79,70,97,2017-12-19 22:08:31,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:31,R,R,td,dom,ndom,dom,TD0
53,146,117,2017-12-19 22:08:32,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:32,R,R,td,dom,ndom,dom,TD0
0,0,0,2017-12-19 22:08:33,R,R,td,dom,ndom,dom,TD0
164,39,97,2017-12-19 22:08:33,L,R,td,ndom,ndom,ndom,TD0
82,43,75,2017-12-19 22:08:34,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:34,R,R,td,dom,ndom,dom,TD0
70,33,76,2017-12-19 22:08:35,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:35,R,R,td,dom,ndom,dom,TD0
66,59,55,2017-12-19 22:08:36,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:36,R,R,td,dom,ndom,dom,TD0
68,35,99,2017-12-19 22:08:37,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:37,R,R,td,dom,ndom,dom,TD0
0,0,0,2017-12-19 22:08:38,R,R,td,dom,ndom,dom,TD0
56,23,85,2017-12-19 22:08:38,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:39,R,R,td,dom,ndom,dom,TD0
74,61,103,2017-12-19 22:08:39,L,R,td,ndom,ndom,ndom,TD0
63,107,86,2017-12-19 22:08:40,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:40,R,R,td,dom,ndom,dom,TD0
94,85,90,2017-12-19 22:08:41,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:41,R,R,td,dom,ndom,dom,TD0
0,0,0,2017-12-19 22:08:42,R,R,td,dom,ndom,dom,TD0
158,22,98,2017-12-19 22:08:42,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:43,R,R,td,dom,ndom,dom,TD0
78,37,44,2017-12-19 22:08:43,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:44,R,R,td,dom,ndom,dom,TD0
66,32,112,2017-12-19 22:08:44,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:45,R,R,td,dom,ndom,dom,TD0
114,32,101,2017-12-19 22:08:45,L,R,td,ndom,ndom,ndom,TD0
103,25,82,2017-12-19 22:08:46,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:46,R,R,td,dom,ndom,dom,TD0
0,0,0,2017-12-19 22:08:47,R,R,td,dom,ndom,dom,TD0
91,44,99,2017-12-19 22:08:47,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:48,R,R,td,dom,ndom,dom,TD0
107,53,99,2017-12-19 22:08:48,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:49,R,R,td,dom,ndom,dom,TD0
55,64,113,2017-12-19 22:08:49,L,R,td,ndom,ndom,ndom,TD0
91,44,136,2017-12-19 22:08:50,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:50,R,R,td,dom,ndom,dom,TD0
91,67,95,2017-12-19 22:08:51,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:51,R,R,td,dom,ndom,dom,TD0
67,57,92,2017-12-19 22:08:52,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:52,R,R,td,dom,ndom,dom,TD0
89,71,109,2017-12-19 22:08:53,L,R,td,ndom,ndom,ndom,TD0
0,0,0,2017-12-19 22:08:53,R,R,td,dom,ndom,dom,TD0
