Axis1,Axis2,Axis3,datetime,hand,hand_dominance,type,hand_type,session,hand_label,id
18,52,113,2017-10-23 17:40:25,R,L,ucp,ndom,ndom,ndom,UCP0
0,5,0,2017-10-23 17:40:25,L,L,ucp,dom,ndom,dom,UCP0
22,37,8,2017-10-23 17:40:26,L,L,ucp,dom,ndom,dom,UCP0
60,138,199,2017-10-23 17:40:26,R,L,ucp,ndom,ndom,ndom,UCP0
0,11,0,2017-10-23 17:40:27,L,L,ucp,dom,ndom,dom,UCP0
87,142,77,2017-10-23 17:40:27,R,L,ucp,ndom,ndom,ndom,UCP0
0,0,0,2017-10-23 17:40:28,L,L,ucp,dom,ndom,dom,UCP0
66,42,61,2017-10-23 17:40:28,R,L,ucp,ndom,ndom,ndom,UCP0
0,4,0,2017-10-23 17:40:29,L,L,ucp,dom,ndom,dom,UCP0
43,68,78,2017-10-23 17:40:29,R,L,ucp,ndom,ndom,ndom,UCP0
0,0,0,2017-10-23 17:40:30,L,L,ucp,dom,ndom,dom,UCP0
21,72,113,2017-10-23 17:40:30,R,L,ucp,ndom,ndom,ndom,UCP0
0,0,0,2017-10-23 17:40:31,L,L,ucp,dom,ndom,dom,UCP0
17,56,71,2017-10-23 17:40:31,R,L,ucp,ndom,ndom,ndom,UCP0
5,39,8,2017-10-23 17:40:32,L,L,ucp,dom,ndom,dom,UCP0
37,133,76,2017-10-23 17:40:32,R,L,ucp,ndom,ndom,ndom,UCP0
38,63,55,2017-10-23 17:40:33,R,L,ucp,ndom,ndom,ndom,UCP0
0,17,0,2017-10-23 17:40:33,L,L,ucp,dom,ndom,dom,UCP0
0,26,0,2017-10-23 17:40:34,L,L,ucp,dom,ndom,dom,UCP0
57,112,53,2017-10-23 17:40:34,R,L,ucp,ndom,ndom,ndom,UCP0
0,25,0,2017-10-23 17:40:35,L,L,ucp,dom,ndom,dom,UCP0
56,74,55,2017-10-23 17:40:35,R,L,ucp,ndom,ndom,ndom,UCP0
0,22,0,2017-10-23 17:40:36,L,L,ucp,dom,ndom,dom,UCP0
20,98,66,2017-10-23 17:40:36,R,L,ucp,ndom,ndom,ndom,UCP0
0,29,0,2017-10-23 17:40:37,L,L,ucp,dom,ndom,dom,UCP0
50,71,72,2017-10-23 17:40:37,R,L,ucp,ndom,ndom,ndom,UCP0
1,48,0,2017-10-23 17:40:38,L,L,ucp,dom,ndom,dom,UCP0
96,146,113,2017-10-23 17:40:38,R,L,ucp,ndom,ndom,ndom,UCP0
5,26,0,2017-10-23 17:40:39,L,L,ucp,dom,ndom,dom,UCP0
57,135,83,2017-10-23 17:40:39,R,L,ucp,ndom,ndom,ndom,UCP0
0,20,0,2017-10-23 17:40:40,L,L,ucp,dom,ndom,dom,UCP0
49,102,48,2017-10-23 17:40:40,R,L,ucp,ndom,ndom,ndom,UCP0
0,13,0,2017-10-23 17:40:41,L,L,ucp,dom,ndom,dom,UCP0
15,2,3,2017-10-23 17:40:41,R,L,ucp,ndom,ndom,ndom,UCP0
11,14,0,2017-10-23 17:40:42,L,L,ucp,dom,ndom,dom,UCP0
91,122,77,2017-10-23 17:40:42,R,L,ucp,ndom,ndom,ndom,UCP0
0,28,0,2017-10-23 17:40:43,L,L,ucp,dom,ndom,dom,UCP0
41,59,48,2017-10-23 17:40:43,R,L,ucp,ndom,ndom,ndom,UCP0
58,113,35,2017-10-23 17:40:44,R,L,ucp,ndom,ndom,ndom,UCP0
14,36,0,2017-10-23 17:40:44,L,L,ucp,dom,ndom,dom,UCP0
73,101,78,2017-10-23 17:40:45,R,L,ucp,ndom,ndom,ndom,UCP0
12,25,1,2017-10-23 17:40:45,L,L,ucp,dom,ndom,dom,UCP0
67,57,67,2017-10-23 17:40:46,R,L,ucp,ndom,ndom,ndom,UCP0
12,21,0,2017-10-23 17:40:46,L,L,ucp,dom,ndom,dom,UCP0
